Name,Guid,Language,LatestVersion,Path
"DictionaryFolder",98e4bdc6-9b43-4eb2-baa3-d4303c35852e,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\Dictionary\DictionaryFolder\{98E4BDC6-9B43-4EB2-BAA3-D4303C35852E}\en\1\xml"
"Dynamic Teaser",f5f30cdc-9003-4015-84ec-c3a7e3e50d5e,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Teasers\Dynamic Teaser\{F5F30CDC-9003-4015-84EC-C3A7E3E50D5E}\en\1\xml"
"Edit Profile Page",867f774a-195e-49d3-8e40-01f18410bb02,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Habitat\Page Types\Edit Profile Page\{867F774A-195E-49D3-8E40-01F18410BB02}\en\1\xml"
"Employee",9671e92a-4ad3-46df-aff1-1542fd3d5bd9,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Employee\{9671E92A-4AD3-46DF-AFF1-1542FD3D5BD9}\en\1\xml"
"Employee",467c2144-4454-4518-b1de-e31b4cbbff33,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Habitat\Page Types\Employee\{467C2144-4454-4518-B1DE-E31B4CBBFF33}\en\1\xml"
"Employee Folder",f94f28f6-5b19-42f2-9164-1e21023e03ee,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Employee Folder\{F94F28F6-5B19-42F2-9164-1E21023E03EE}\en\1\xml"
"Employees folder",51e2ff7f-6fb3-4470-91c8-d2ad97bf1eae,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Habitat\Page Types\Employees folder\{51E2FF7F-6FB3-4470-91C8-D2AD97BF1EAE}\en\1\xml"
"FAQ",bfdc1f27-3d2d-495f-89a3-0951f882420b,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\FAQ\{BFDC1F27-3D2D-495F-89A3-0951F882420B}\en\1\xml"
"FAQ Folder",41da2d61-d85a-40f1-be69-ddd18dd1bc93,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\FAQ Folder\{41DA2D61-D85A-40F1-BE69-DDD18DD1BC93}\en\1\xml"
"FAQ Group",ba1eb1bd-e705-4be6-a432-06b7f1b2f2cc,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\FAQ Group\{BA1EB1BD-E705-4BE6-A432-06B7F1B2F2CC}\en\1\xml"
